序號,管理委員會,建築物地址
1,一品苑社區管理委員會,中壢區大圳路
2,領袖歐洲社區管理委員會,中壢區芝芭里1鄰
3,雄利社區管理負責人,中壢區後寮一路
4,百老匯宮庭大樓,中壢區九和一街
5,海華巴黎廣場大廈,中壢區九和一街
6,世紀宮廷,中壢區九和一街
7,慈惠大樓管理負責人,中壢區九和二街
8,雅典宮廷大廈,中壢區九和三街
9,伯爵山莊社區管理負責人,中壢區三友新村
10,三友新村社區,中壢區三友新村
11,天美央大我居社區住戶管理委員會,中壢區三民里10鄰
12,富比仕社區管理委員會,中壢區三民路一段
13,宏基大樓,中壢區三光路
14,法國賞社區管理委員會,中壢區三光路
15,市說新語社區,中壢區三光路
16,中央企業大樓,中壢區三光路
17,永勝公寓大廈管理負責人 曾隆貴,中壢區大仁一街
18,柏德公園劍橋社區,中壢區大仁二街
19,哈佛林A區公寓大廈,中壢區大仁五街
20,中原凱悅A棟社區管理委員會,中壢區大仁街
21,萬緣樓公寓大廈管理負責人,中壢區大仁街
22,中原凱悅管理委員會,中壢區大仁街
23,豪仕登,中壢區大享街
24,天籟園邸社區管理委員會,中壢區大享街
25,大享別莊,中壢區大享街
26,國立中央大學學人宿舍(北村E棟)管理負責人,中壢區大享街一段
27,中大拾翠社區管理委員會,中壢區大享街一段
28,中大隨筆社區管理委員會,中壢區大享路
29,中山凱悅社區,中壢區大勇二街
30,牛津雙星大樓,中壢區大勇三街
31,依莎君典社區管理委員會,中壢區大勇四街
32,小富翁大學城社區管理委員會,中壢區大智街
33,勤學樓管理負責人楊玉燕,中壢區大華路
34,富貴新人大廈,中壢區大華路
35,大華新廈,中壢區大華路
36,陽光儷水社區,中壢區大德街
37,城寶公寓大廈管理委員會,中壢區山東路
38,大崙公寓大廈,中壢區山東路
39,昀真ONE市達2管理委員會,中壢區山錦路
40,曜園社區,中壢區中大路
41,中原至尊,中壢區中山東路一段
42,中原豪景社區,中壢區中山東路一段
43,中原豪傑大廈管理委員會,中壢區中山東路一段
44,中原至尊社區,中壢區中山東路一段
45,中原師鄉社區,中壢區中山東路一段
46,唐都大廈,中壢區中山東路三段
47,頂極社區公寓大廈,中壢區中山東路三段
48,臻品社區管理委員會,中壢區中山東路三段
49,南亞金鑽管理負責人,中壢區中山東路三段
50,南亞金鑽管理負責人,中壢區中山東路三段
51,?囍公寓大廈管理委員會,中壢區中山東路三段
52,?囍透天社區管理委員會,中壢區中山東路三段
53,?囍公寓大廈管理委員會,中壢區中山東路三段
54,太子天廈管理委員會,中壢區中山東路三段
55,高閣社區,中壢區中山東路四段
56,永達創世紀大樓,中壢區中山路
57,立和路1號公寓大廈管理負責人,中壢區中山路
58,明漾管理委員會,中壢區中山路
59,合勝大樓管理委員會,中壢區中山路
60,白馬中山大樓管理委員會,中壢區中山路
61,永豐大樓管理委員會,中壢區中山路
62,呂文恩公寓大廈管理負責人,中壢區中山路
63,中原美文社區管理負責人張美文,中壢區中山路
64,龍門天下,中壢區中北路二段
65,新站大學園區公寓大廈管理委員會,中壢區中北路二段
66,莎翁花園城堡公寓大廈,中壢區中北路二段
67,科學城公寓大廈,中壢區中北路二段
68,傳世三希行館管理委員會,中壢區中北路二段
69,一品居公寓大廈,中壢區中北路二段
70,明園大第,中壢區中北路二段
71,德隆商業大樓管理負責人,中壢區中北路二段
72,金銀寶大樓,中壢區中央西路一段
73,世貿財星廣場管理委員會,中壢區中央西路一段
74,金緯商業大樓,中壢區中央西路一段
75,遠東雙星大廈管理委員會,中壢區中央西路一段
76,中央貴族大廈,中壢區中央西路二段
77,企業寶座,中壢區中央西路二段
78,世貿銀座公寓大廈,中壢區中央西路二段
79,慈心樓管理負責人 黃晴渝,中壢區中央里16鄰
80,元化大廈管理負責人,中壢區中央里19鄰
81,聯饗餐飲大樓管理負責人,中壢區中央東路
82,冠昱銀座廿一商業大樓,中壢區中央東路
83,中壢站前獅子座大廈,中壢區中平路
84,世紀大樓管理委員會,中壢區中平路
85,慶聲社區管理負責人,中壢區中平路
86,快樂屋管理負責人,中壢區中正里13鄰
87,裕邦華夏管理負責人 陳如?,中壢區中正里20鄰
88,萊茵富邑社區管理委員會,中壢區中正路
89,松月林園社區管理委員會,中壢區中正路
90,赫里翁社區管理委員會,中壢區中正路
91,中壢站前華廈,中壢區中正路
92,東方財經雙鑽,中壢區中正路
93,竹里館二期管理委員會,中壢區中正路二段
94,富貴社區管理負責人,中壢區中正路四段
95,東方太陽社區,中壢區中正路
96,至芃天廈管理負責人,中壢區中正路
97,翡翠花園二期管理負責人,中壢區中正路二段
98,翡翠花園集居社區管理委員會,中壢區中正路二段
99,竹里館一期社區管理委員會,中壢區中正路二段
100,游輝雄等七人社區管理委員會,中壢區中正路二段
101,高鐵捷境管理委員會,中壢區中正路三段
102,桃園縣中壢市廣涵社區,中壢區中正路四段
103,國王與我社區,中壢區中正路四段
104,中美大樓,中壢區中美路一段
105,鴻福大街b區,中壢區中原里26鄰
106,中壢市香格里拉大廈住戶管理委員會,中壢區中華路二段
107,中壢龍門社區,中壢區中華路一段
108,鎵興國際大樓管理負責人,中壢區中華路一段
109,登揚大廈,中壢區中華路一段
110,陳文旺管理負責人,中壢區中華路二段
111,中壢香格里拉大廈住戶管理委員會,中壢區中華路二段
112,家天下社區,中壢區中華路二段
