地政服務據點,聯絡電話,地址,地理座標_TWD67_經度,地理座標_TWD67_緯度,地理座標_TWD97_經度,地理座標_TWD97_緯度,地理座標_WGS84_經度,地理座標_WGS84_緯度
桃園市政府,(03)339-4358,桃園市桃園區縣府路1號,279561.072,2765229.506,280390.841,2765025.18,121.30106,24.992903
自強工作站,(03)453-5781,桃園市中壢區國強路46號2樓,278345.676,2765235.363,279175.425,2765031.042,121.28902,24.992979
觀音區公所,(03)473-2121#130,桃園市觀音區觀新路56號1樓,257668.99,2769063.81,258498.417,2768859.636,121.084212,25.027802
龍潭區公所,(03)479-3070,桃園市龍潭區中正路210號,271109.491,2750969.591,271939.064,2750765.069,121.217109,24.864302
復興區公所,(03)382-1500,桃園市復興區中正路20號,284663.132,2745511.773,285492.902,2745307.106,121.351098,24.814771
新屋區戶政事務所,(03)477-2102#126,桃園市新屋區中山路241號3樓,259921.968,2762936.656,260751.407,2762732.373,121.106489,24.972469
大園區公所,(03)384-3582,桃園市大園區中正西路12號,268889.95,2773068.76,269719.577,2772864.607,121.19546,25.063856
桃園市桃園地政事務所,03-3695588,桃園市桃園區國豐三街123號,277312.81,2764982.178,278142.541,2764777.858,121.278783,24.990713
桃園市中壢地政事務所,(03)491-7647,桃園市中壢區松勇二街59號,265717.39,2761715.163,266547.328,2761511.07,121.163881,24.96139
桃園市大溪地政事務所,(03)387- 4211,桃園市大溪區康莊路95號,278298.617,2752958.459,279128.315,2752753.939,121.288295,24.882138
桃園市楊梅地政事務所,(03)478-3115,桃園市楊梅區校前路411號,264416.574,2754675.072,265246.054,2754470.637,121.150916,24.89784
桃園市蘆竹地政事務所,(03)3525337 ,桃園市蘆竹區長安路2段236號,277476.277,2772999.893,278306.045,2772795.703,121.280567,25.063097
桃園市八德地政事務所,(03)-3667478,桃園市八德區重慶街146號,279756.385,2761164.984,280586.141,2760960.591,121.302905,24.956202
桃園市平鎮地政事務所,(03)-4570461,桃園市平鎮區環南路二段276號,270818.49,2759362.472,271648.092,2759158.087,121.214361,24.940082
桃園市龜山地政事務所,(03)-359-6480,桃園市龜山區自強南路105號,283302.485,2765123.563,284132.71,2764919.644,121.338125,24.99187
